id,name,recipe1,recipe2,recipe3,recipe4,recipe5,recipe6
820,Bone Door,115,,,,,
821,Flame Wings,436,,,,,
822,Frozen Wings,495,,,,,
823,Spectre Wings,499,,,,,
824,Sunplate Block,,,,,,
825,Disc Wall,,,,,,
826,Skyware Chair,1256,,,,,
827,Bone Table,120,,,,,
828,Flesh Table,468,,,,,
829,Living Wood Table,763,,,,,
830,Skyware Table,1264,,,,,
831,Living Wood Chest,,,,,,
832,Living Wood Wand,,,,,,
833,Purple Ice Block,,,,,,
834,Pink Ice Block,,,,,,
835,Red Ice Block,,,,,,
836,Crimstone Block,,,,,,
837,Skyware Door,1258,,,,,
838,Skyware Chest,,,,,,
839,Steampunk Hat,,,,,,
840,Steampunk Shirt,,,,,,
841,Steampunk Pants,,,,,,
842,Bee Hat,,,,,,
843,Bee Shirt,,,,,,
844,Bee Pants,,,,,,
845,World Banner,,,,,,
846,Sun Banner,,,,,,
847,Gravity Banner,,,,,,
848,Pharaoh's Mask,,,,,,
849,Actuator,,,,,,
850,Blue Wrench,,,,,,
851,Green Wrench,,,,,,
852,Blue Pressure Plate,,,,,,
853,Yellow Pressure Plate,,,,,,
854,Discount Card,,,,,,
855,Lucky Coin,,,,,,
856,Unicorn on a Stick,,,,,,
857,Sandstorm in a Bottle,,,,,,
858,Boreal Wood Sofa,150,,,,,
859,Beach Ball,,,,,,
860,Charm of Myths,229,,,,,
861,Moon Shell,816,,,,,
862,Star Veil,1359,,,,,
863,Water Walking Boots,,,,,,
864,Tiara,,,,,,
866,Pharaoh's Robe,,,,,,
867,Green Cap,,,,,,
868,Mushroom Cap,,,,,,
869,Tam O' Shanter,,,,,,
870,Mummy Mask,,,,,,
871,Mummy Shirt,,,,,,
872,Mummy Pants,,,,,,
873,Cowboy Hat,,,,,,
874,Cowboy Jacket,,,,,,
875,Cowboy Pants,,,,,,
876,Pirate Hat,,,,,,
877,Pirate Shirt,,,,,,
878,Pirate Pants,,,,,,
879,Viking Helmet,,,,,,
880,Crimtane Ore,,,,,,
881,Cactus Sword,207,,,,,
882,Cactus Pickaxe,204,,,,,
883,Ice Brick,641,642,,,,
884,Ice Brick Wall,643,,,,,
885,Adhesive Bandage,,,,,,
886,Armor Polish,,,,,,
887,Bezoar,,,,,,
888,Blindfold,,,,,,
889,Fast Clock,,,,,,
890,Megaphone,,,,,,
891,Nazar,,,,,,
892,Vitamins,,,,,,
893,Trifold Map,,,,,,
894,Cactus Helmet,199,,,,,
895,Cactus Breastplate,188,,,,,
896,Cactus Leggings,202,,,,,
897,Power Glove,1059,,,,,
898,Lightning Boots,720,,,,,
899,Sun Stone,,,,,,
900,Moon Stone,,,,,,
901,Armor Bracing,48,,,,,
902,Medicated Bandage,795,,,,,
903,The Plan,1422,,,,,
904,Countercurse Mantra,301,,,,,
905,Coin Gun,,,,,,
906,Lava Charm,,,,,,
907,Obsidian Water Walking Boots,903,,,,,
908,Lava Waders,698,,,,,
909,Pure Water Fountain,,,,,,
910,Desert Water Fountain,,,,,,
911,Shadewood,1184,1185,,,,
912,Shadewood Door,1200,,,,,
913,Shadewood Platform,1209,,,,,
914,Shadewood Chest,1196,1197,,,,
915,Shadewood Chair,1194,,,,,
916,Shadewood Work Bench,1214,,,,,
917,Shadewood Table,1212,,,,,
918,Shadewood Dresser,1201,,,,,
919,Shadewood Piano,1208,,,,,
920,Shadewood Bed,1188,,,,,
921,Shadewood Sword,1211,,,,,
922,Shadewood Hammer,1204,,,,,
923,Shadewood Bow,1190,,,,,
924,Shadewood Helmet,1205,,,,,
925,Shadewood Breastplate,1191,,,,,
926,Shadewood Greaves,1203,,,,,
927,Shadewood Wall,1213,,,,,
928,Cannon,,,,,,
929,Cannonball,,,,,,
930,Flare Gun,,,,,,
931,Flare,,,,,,
932,Bone Wand,,,,,,
933,Leaf Wand,,,,,,
934,Flying Carpet,,,,,,
935,Avenger Emblem,51,52,53,54,,
936,Mechanical Glove,789,,,,,
937,Land Mine,,,,,,
938,Paladin's Shield,,,,,,
939,Web Slinger,,,,,,
940,Jungle Water Fountain,,,,,,
941,Icy Water Fountain,,,,,,
942,Corrupt Water Fountain,,,,,,
943,Crimson Water Fountain,,,,,,
944,Hallowed Water Fountain,,,,,,
945,Blood Water Fountain,,,,,,
946,Umbrella,,,,,,
947,Chlorophyte Ore,,,,,,
948,Steampunk Wings,,,,,,
949,Snowball,1296,,,,,
950,Ice Skates,,,,,,
951,Snowball Launcher,,,,,,
952,Web Covered Chest,,,,,,
953,Climbing Claws,,,,,,
954,Ancient Iron Helmet,,,,,,
955,Ancient Gold Helmet,,,,,,
956,Ancient Shadow Helmet,,,,,,
957,Ancient Shadow Scalemail,,,,,,
958,Ancient Shadow Greaves,,,,,,
959,Ancient Necro Helmet,,,,,,
960,Ancient Cobalt Helmet,,,,,,
961,Ancient Cobalt Breastplate,,,,,,
962,Ancient Cobalt Leggings,,,,,,
963,Black Belt,,,,,,
964,Boomstick,,,,,,
965,Rope,,,,,,
966,Campfire,212,,,,,
967,Marshmallow,,,,,,
968,Marshmallow on a Stick,785,,,,,
969,Cooked Marshmallow,278,,,,,
970,Red Rocket,,,,,,
971,Green Rocket,,,,,,
972,Blue Rocket,,,,,,
973,Yellow Rocket,,,,,,
974,Ice Torch,644,,,,,
975,Shoe Spikes,,,,,,
976,Tiger Climbing Gear,1427,,,,,
977,Tabi,,,,,,
978,Pink Eskimo Hood,1030,,,,,
979,Pink Eskimo Coat,1029,,,,,
980,Pink Eskimo Pants,1031,,,,,
981,Pink Thread,,,,,,
982,Mana Regeneration Band,782,,,,,
983,Sandstorm in a Balloon,1169,,,,,
984,Master Ninja Gear,786,,,,,
985,Rope Coil,1156,,,,,
986,Blowgun,,,,,,
987,Blizzard in a Bottle,,,,,,
988,Frostburn Arrow,476,,,,,
990,Pickaxe Axe,1020,,,,,
991,Cobalt Waraxe,268,,,,,
992,Mythril Waraxe,871,,,,,
993,Adamantite Waraxe,24,,,,,
994,Eater's Bone,,,,,,
995,Blend-O-Matic,,,,,,
996,Meat Grinder,,,,,,
997,Extractinator,,,,,,
998,Solidifier,,,,,,
999,Amber,,,,,,
1000,Confetti Gun,,,,,,
1001,Chlorophyte Mask,244,,,,,
1002,Chlorophyte Helmet,242,,,,,
1003,Chlorophyte Headgear,241,,,,,
1004,Chlorophyte Plate Mail,247,,,,,
1005,Chlorophyte Greaves,240,,,,,
1006,Chlorophyte Bar,234,,,,,
1007,Red Dye,1112,,,,,
1008,Orange Dye,913,,,,,
1009,Yellow Dye,1564,,,,,
1010,Lime Dye,742,,,,,
1011,Green Dye,575,,,,,
1012,Teal Dye,1414,,,,,
1013,Cyan Dye,316,,,,,
1014,Sky Blue Dye,1250,,,,,
1015,Blue Dye,92,,,,,
1016,Purple Dye,1091,,,,,
1017,Violet Dye,1511,,,,,
1018,Pink Dye,1028,,,,,
1019,Red and Black Dye,1106,,,,,
1020,Orange and Black Dye,911,,,,,
1021,Yellow and Black Dye,1561,,,,,
1022,Lime and Black Dye,740,,,,,
1023,Green and Black Dye,568,,,,,
1024,Teal and Black Dye,1412,,,,,
1025,Cyan and Black Dye,314,,,,,
1026,Sky Blue and Black Dye,1248,,,,,
1027,Blue and Black Dye,87,,,,,
1028,Purple and Black Dye,1089,,,,,
1029,Violet and Black Dye,1509,,,,,
1030,Pink and Black Dye,1024,,,,,
1031,Flame Dye,435,,,,,
1032,Flame and Black Dye,434,,,,,
1033,Green Flame Dye,577,,,,,
1034,Green Flame and Black Dye,576,,,,,
1035,Blue Flame Dye,95,,,,,
1036,Blue Flame and Black Dye,94,,,,,
1037,Silver Dye,,,,,,
1038,Bright Red Dye,171,,,,,
1039,Bright Orange Dye,168,,,,,
1040,Bright Yellow Dye,175,,,,,
1041,Bright Lime Dye,167,,,,,
1042,Bright Green Dye,166,,,,,
1043,Bright Teal Dye,173,,,,,
1044,Bright Cyan Dye,165,,,,,
1045,Bright Sky Blue Dye,172,,,,,
1046,Bright Blue Dye,164,,,,,
1047,Bright Purple Dye,170,,,,,
1048,Bright Violet Dye,174,,,,,
1049,Bright Pink Dye,169,,,,,
1050,Black Dye,78,,,,,
1051,Red and Silver Dye,1107,,,,,
1052,Orange and Silver Dye,912,,,,,
1053,Yellow and Silver Dye,1562,,,,,
1054,Lime and Silver Dye,741,,,,,
1055,Green and Silver Dye,569,,,,,
1056,Teal and Silver Dye,1413,,,,,
1057,Cyan and Silver Dye,315,,,,,
1058,Sky Blue and Silver Dye,1249,,,,,
1059,Blue and Silver Dye,88,,,,,
1060,Purple and Silver Dye,1090,,,,,
1061,Violet and Silver Dye,1510,,,,,
1062,Pink and Silver Dye,1025,,,,,
1063,Intense Flame Dye,654,,,,,
1064,Intense Green Flame Dye,655,,,,,
1065,Intense Blue Flame Dye,653,,,,,
1066,Rainbow Dye,1102,,,,,
1067,Intense Rainbow Dye,656,,,,,
1068,Yellow Gradient Dye,1565,,,,,
1069,Cyan Gradient Dye,317,,,,,
1070,Violet Gradient Dye,1512,,,,,
1071,Paintbrush,,,,,,
1072,Paint Roller,,,,,,
1073,Red Paint,,,,,,
1074,Orange Paint,,,,,,
1075,Yellow Paint,,,,,,
1076,Lime Paint,,,,,,
1077,Green Paint,,,,,,
1078,Teal Paint,,,,,,
1079,Cyan Paint,,,,,,
1080,Sky Blue Paint,,,,,,
1081,Blue Paint,,,,,,
1082,Purple Paint,,,,,,
1083,Violet Paint,,,,,,
1084,Pink Paint,,,,,,
1085,Deep Red Paint,329,,,,,
1086,Deep Orange Paint,326,,,,,
1087,Deep Yellow Paint,333,,,,,
1088,Deep Lime Paint,325,,,,,
1089,Deep Green Paint,324,,,,,
1090,Deep Teal Paint,331,,,,,
1091,Deep Cyan Paint,323,,,,,
1092,Deep Sky Blue Paint,330,,,,,
1093,Deep Blue Paint,322,,,,,
1094,Deep Purple Paint,328,,,,,
1095,Deep Violet Paint,332,,,,,
1096,Deep Pink Paint,327,,,,,
1097,Black Paint,,,,,,
1098,White Paint,,,,,,
1099,Gray Paint,,,,,,
1100,Paint Scraper,,,,,,
1101,Lihzahrd Brick,725,,,,,
1102,Lihzahrd Brick Wall,726,,,,,
1103,Slush Block,,,,,,
1104,Palladium Ore,,,,,,
1105,Orichalcum Ore,,,,,,
1106,Titanium Ore,,,,,,
1107,Teal Mushroom,,,,,,
1108,Green Mushroom,,,,,,
1109,Sky Blue Flower,,,,,,
1110,Yellow Marigold,,,,,,
1111,Blue Berries,,,,,,
1112,Lime Kelp,,,,,,
1113,Pink Prickly Pear,,,,,,
1114,Orange Bloodroot,,,,,,
1115,Red Husk,,,,,,
1116,Cyan Husk,,,,,,
1117,Violet Husk,,,,,,
1118,Purple Mucos,,,,,,
1119,Black Ink,,,,,,
1120,Dye Vat,,,,,,
1121,Bee Gun,,,,,,
1122,Possessed Hatchet,,,,,,
1123,Bee Keeper,,,,,,
1124,Hive,,,,,,
1125,Honey Block,,,,,,
1126,Hive Wall,,,,,,
1127,Crispy Honey Block,,,,,,
1128,Honey Bucket,,,,,,
1129,Hive Wand,,,,,,
1130,Beenade,,,,,,
1131,Gravity Globe,,,,,,
1132,Honey Comb,,,,,,
1133,Abeemination,7,,,,,
1134,Bottled Honey,156,,,,,
1135,Rain Hat,,,,,,
1136,Rain Coat,,,,,,
1137,Lihzahrd Door,733,,,,,
1138,Dungeon Door,,,,,,
1139,Lead Door,708,,,,,
1140,Iron Door,667,,,,,
1141,Temple Key,,,,,,
1142,Lihzahrd Chest,,,,,,
1143,Lihzahrd Chair,729,,,,,
1144,Lihzahrd Table,739,,,,,
1145,Lihzahrd Work Bench,,,,,,
1146,Super Dart Trap,,,,,,
1147,Flame Trap,,,,,,
1148,Spiky Ball Trap,,,,,,
1149,Spear Trap,,,,,,
1150,Wooden Spike,,,,,,
1151,Lihzahrd Pressure Plate,,,,,,
1152,Lihzahrd Statue,,,,,,
1153,Lihzahrd Watcher Statue,,,,,,
1154,Lihzahrd Guardian Statue,,,,,,
1155,Wasp Gun,,,,,,
1156,Piranha Gun,,,,,,
1157,Pygmy Staff,,,,,,
1158,Pygmy Necklace,,,,,,
1159,Tiki Mask,,,,,,
1160,Tiki Shirt,,,,,,
1161,Tiki Pants,,,,,,
1162,Leaf Wings,,,,,,
1163,Blizzard in a Balloon,83,,,,,
1164,Bundle of Balloons,180,,,,,
1165,Bat Wings,60,,,,,
1166,Bone Sword,,,,,,
1167,Hercules Beetle,,,,,,
1168,Smoke Bomb,,,,,,
1169,Bone Key,,,,,,
1170,Nectar,,,,,,
1171,Tiki Totem,,,,,,
1172,Lizard Egg,,,,,,
1173,Grave Marker,,,,,,
1174,Cross Grave Marker,,,,,,
1175,Headstone,,,,,,
1176,Gravestone,,,,,,
1177,Obelisk,,,,,,
1178,Leaf Blower,,,,,,
1179,Chlorophyte Bullet,235,,,,,
1180,Parrot Cracker,,,,,,
1181,Strange Glowing Mushroom,,,,,,
1182,Seedling,,,,,,
1183,Wisp in a Bottle,,,,,,
1184,Palladium Bar,931,,,,,
1185,Palladium Sword,945,,,,,
1186,Palladium Pike,943,,,,,
1187,Palladium Repeater,944,,,,,
1188,Palladium Pickaxe,942,,,,,
1189,Palladium Drill,937,,,,,
1190,Palladium Chainsaw,933,,,,,
1191,Orichalcum Bar,916,,,,,
1192,Orichalcum Sword,927,,,,,
1193,Orichalcum Halberd,920,,,,,
1194,Orichalcum Repeater,926,,,,,
1195,Orichalcum Pickaxe,925,,,,,
1196,Orichalcum Drill,919,,,,,
1197,Orichalcum Chainsaw,918,,,,,
1198,Titanium Bar,1447,,,,,
1199,Titanium Sword,1458,,,,,
1200,Titanium Trident,1459,,,,,
1201,Titanium Repeater,1457,,,,,
1202,Titanium Pickaxe,1456,,,,,
1203,Titanium Drill,1450,,,,,
1204,Titanium Chainsaw,1449,,,,,
1205,Palladium Mask,941,,,,,
1206,Palladium Helmet,939,,,,,
1207,Palladium Headgear,938,,,,,
1208,Palladium Breastplate,932,,,,,
1209,Palladium Leggings,940,,,,,
1210,Orichalcum Mask,924,,,,,
1211,Orichalcum Helmet,922,,,,,
1212,Orichalcum Headgear,921,,,,,
1213,Orichalcum Breastplate,917,,,,,
1214,Orichalcum Leggings,923,,,,,
1215,Titanium Mask,1455,,,,,
1216,Titanium Helmet,1453,,,,,
1217,Titanium Headgear,1452,,,,,
1218,Titanium Breastplate,1448,,,,,
1219,Titanium Leggings,1454,,,,,
1220,Orichalcum Anvil,915,,,,,
1221,Titanium Forge,1451,,,,,
1222,Palladium Waraxe,946,,,,,
1223,Orichalcum Waraxe,928,,,,,
1224,Titanium Waraxe,1460,,,,,
1225,Hallowed Bar,,,,,,
1226,Chlorophyte Claymore,237,,,,,
1227,Chlorophyte Saber,248,,,,,
1228,Chlorophyte Partisan,245,,,,,
1229,Chlorophyte Shotbow,249,,,,,
1230,Chlorophyte Pickaxe,246,,,,,
1231,Chlorophyte Drill,238,,,,,
1232,Chlorophyte Chainsaw,236,,,,,
1233,Chlorophyte Greataxe,239,,,,,
1234,Chlorophyte Warhammer,250,,,,,
1235,Chlorophyte Arrow,233,,,,,
1236,Amethyst Hook,36,,,,,
1237,Topaz Hook,1470,,,,,
1238,Sapphire Hook,1174,,,,,
1239,Emerald Hook,409,,,,,
1240,Ruby Hook,1161,,,,,
1241,Diamond Hook,345,,,,,
1242,Amber Mosquito,,,,,,
1243,Umbrella Hat,,,,,,
1244,Nimbus Rod,,,,,,
1245,Orange Torch,914,,,,,
1246,Crimsand Block,,,,,,
1247,Bee Cloak,67,,,,,
1248,Eye of the Golem,,,,,,
1249,Honey Balloon,616,,,,,
1250,Blue Horseshoe Balloon,96,,,,,
1251,White Horseshoe Balloon,1532,,,,,
1252,Yellow Horseshoe Balloon,1566,,,,,
1253,Frozen Turtle Shell,,,,,,
1254,Sniper Rifle,,,,,,
1255,Venus Magnum,,,,,,
1256,Crimson Rod,,,,,,
1257,Crimtane Bar,307,,,,,
1258,Stynger,,,,,,
1259,Flower Pow,,,,,,
1260,Rainbow Gun,,,,,,
1261,Stynger Bolt,,,,,,
1262,Chlorophyte Jackhammer,243,,,,,
1263,Teleporter,,,,,,
1264,Flower of Frost,,,,,,
1265,Uzi,,,,,,
1266,Magnet Sphere,,,,,,
1267,Purple Stained Glass,1095,,,,,
1268,Yellow Stained Glass,1569,,,,,
1269,Blue Stained Glass,101,,,,,
1270,Green Stained Glass,582,,,,,
1271,Red Stained Glass,1115,,,,,
1272,Multicolored Stained Glass,822,,,,,
1273,Skeletron Hand,,,,,,
1274,Skull,,,,,,
1275,Balla Hat,,,,,,
1276,Gangsta Hat,,,,,,
1277,Sailor Hat,,,,,,
1278,Eye Patch,,,,,,
1279,Sailor Shirt,,,,,,
1280,Sailor Pants,,,,,,
1281,Skeletron Mask,,,,,,
1282,Amethyst Robe,37,,,,,
1283,Topaz Robe,1471,,,,,
1284,Sapphire Robe,1175,,,,,
1285,Emerald Robe,410,,,,,
1286,Ruby Robe,1162,,,,,
1287,Diamond Robe,346,,,,,
1288,White Tuxedo Shirt,,,,,,
1289,White Tuxedo Pants,,,,,,
1290,Panic Necklace,,,,,,
1291,Life Fruit,,,,,,
1292,Lihzahrd Altar,,,,,,
1293,Lihzahrd Power Cell,,,,,,
1294,Picksaw,,,,,,
1295,Heat Ray,,,,,,
1296,Staff of Earth,,,,,,
1297,Golem Fist,,,,,,
1298,Water Chest,,,,,,
1299,Binoculars,,,,,,
1300,Rifle Scope,,,,,,
1301,Destroyer Emblem,340,,,,,
1302,High Velocity Bullet,613,,,,,
1303,Jellyfish Necklace,,,,,,
1304,Zombie Arm,,,,,,
1305,The Axe,,,,,,
1306,Ice Sickle,,,,,,
1307,Clothier Voodoo Doll,,,,,,
1308,Poison Staff,,,,,,
1309,Slime Staff,,,,,,
1310,Poison Dart,1057,,,,,
1311,Eye Spring,,,,,,
1312,Toy Sled,,,,,,
1313,Book of Skulls,,,,,,
1314,KO Cannon,,,,,,
1315,Pirate Map,,,,,,
1316,Turtle Helmet,1496,,,,,
1317,Turtle Scale Mail,1498,,,,,
1318,Turtle Leggings,1497,,,,,
1319,Snowball Cannon,,,,,,
1320,Bone Pickaxe,,,,,,
1321,Magic Quiver,,,,,,
1322,Magma Stone,,,,,,
1323,Obsidian Rose,,,,,,
1324,Bananarang,,,,,,
1325,Chain Knife,,,,,,
1326,Rod of Discord,,,,,,
1327,Death Sickle,,,,,,
1328,Turtle Shell,,,,,,
1329,Tissue Sample,,,,,,
1330,Vertebrae,,,,,,
1331,Bloody Spine,86,,,,,
1332,Ichor,,,,,,
1333,Ichor Torch,647,,,,,
1334,Ichor Arrow,645,,,,,
1335,Ichor Bullet,646,,,,,
1336,Golden Shower,553,,,,,
1337,Bunny Cannon,,,,,,
1338,Explosive Bunny,419,,,,,
1339,Vial of Venom,,,,,,
1340,Flask of Venom,446,,,,,
1341,Venom Arrow,1504,,,,,
1342,Venom Bullet,1505,,,,,
1343,Fire Gauntlet,427,,,,,
1344,Cog,,,,,,
1345,Confetti,,,,,,
1346,Nanites,,,,,,
1347,Explosive Powder,,,,,,
1348,Gold Dust,,,,,,
1349,Party Bullet,980,,,,,
1350,Nano Bullet,873,,,,,
1351,Exploding Bullet,418,,,,,
1352,Golden Bullet,552,,,,,
1353,Flask of Cursed Flames,439,1617,,,,
1354,Flask of Fire,440,1618,,,,
1355,Flask of Gold,441,,,,,
1356,Flask of Ichor,442,1619,,,,
1357,Flask of Nanites,443,,,,,
1358,Flask of Party,444,,,,,
1359,Flask of Poison,445,,,,,
1360,Eye of Cthulhu Trophy,,,,,,
1361,Eater of Worlds Trophy,,,,,,
1362,Brain of Cthulhu Trophy,,,,,,
1363,Skeletron Trophy,,,,,,
1364,Queen Bee Trophy,,,,,,
1365,Wall of Flesh Trophy,,,,,,
1366,Destroyer Trophy,,,,,,
1367,Skeletron Prime Trophy,,,,,,
1368,Retinazer Trophy,,,,,,
1369,Spazmatism Trophy,,,,,,
1370,Plantera Trophy,,,,,,
1371,Golem Trophy,,,,,,
1372,Blood Moon Rising,,,,,,
1373,The Hanged Man,,,,,,
1374,Glory of the Fire,,,,,,
1375,Bone Warp,,,,,,
1376,Wall Skeleton,,,,,,
1377,Hanging Skeleton,,,,,,
1378,Blue Slab Wall,,,,,,
1379,Blue Tiled Wall,,,,,,
1380,Pink Slab Wall,,,,,,
1381,Pink Tiled Wall,,,,,,
1382,Green Slab Wall,,,,,,
1383,Green Tiled Wall,,,,,,
1384,Blue Brick Platform,,,,,,
1385,Pink Brick Platform,,,,,,
1386,Green Brick Platform,,,,,,
1387,Metal Shelf,,,,,,
1388,Brass Shelf,,,,,,
1389,Wood Shelf,,,,,,
1390,Brass Lantern,,,,,,
1391,Caged Lantern,,,,,,
1392,Carriage Lantern,,,,,,
1393,Alchemy Lantern,,,,,,
1394,Diabolist Lamp,,,,,,
1395,Oil Rag Sconse,,,,,,
1396,Blue Dungeon Chair,,,,,,
1397,Blue Dungeon Table,,,,,,
1398,Blue Dungeon Work Bench,,,,,,
1399,Green Dungeon Chair,,,,,,
1400,Green Dungeon Table,,,,,,
1401,Green Dungeon Work Bench,,,,,,
1402,Pink Dungeon Chair,,,,,,
1403,Pink Dungeon Table,,,,,,
1404,Pink Dungeon Work Bench,,,,,,
1405,Blue Dungeon Candle,,,,,,
1406,Green Dungeon Candle,,,,,,
1407,Pink Dungeon Candle,,,,,,
1408,Blue Dungeon Vase,,,,,,
1409,Green Dungeon Vase,,,,,,
1410,Pink Dungeon Vase,,,,,,
1411,Blue Dungeon Door,,,,,,
1412,Green Dungeon Door,,,,,,
1413,Pink Dungeon Door,,,,,,
1414,Blue Dungeon Bookcase,,,,,,
1415,Green Dungeon Bookcase,,,,,,
1416,Pink Dungeon Bookcase,,,,,,
1417,Catacomb,,,,,,
1418,Dungeon Shelf,,,,,,
1419,Skellington J Skellingsworth,,,,,,
1420,The Cursed Man,,,,,,
1421,The Eye Sees the End,,,,,,
1422,Something Evil is Watching You,,,,,,
1423,The Twins Have Awoken,,,,,,
1424,The Screamer,,,,,,
1425,Goblins Playing Poker,,,,,,
1426,Dryadisque,,,,,,
1427,Sunflowers,,,,,,
1428,Terrarian Gothic,,,,,,
1429,Beanie,,,,,,
1430,Imbuing Station,,,,,,
1431,Star in a Bottle,1358,,,,,
1432,Empty Bullet,,,,,,
1433,Impact,,,,,,
1434,Powered by Birds,,,,,,
1436,The Persistency of Eyes,,,,,,
1437,Unicorn Crossing the Hallows,,,,,,
1438,Great Wave,,,,,,
1439,Starry Night,,,,,,
1440,Guide Picasso,,,,,,
1441,The Guardian's Gaze,,,,,,
1442,Father of Someone,,,,,,
1443,Nurse Lisa,,,,,,
1444,Shadowbeam Staff,,,,,,
1445,Inferno Fork,,,,,,
1446,Spectre Staff,,,,,,
1447,Wooden Fence,1552,,,,,
1448,Lead Fence,709,,,,,
1449,Bubble Machine,,,,,,
1450,Bubble Wand,,,,,,
1451,Marching Bones Banner,,,,,,
1452,Necromantic Sign,,,,,,
1453,Rusted Company Standard,,,,,,
1454,Ragged Brotherhood Sigil,,,,,,
1455,Molten Legion Flag,,,,,,
1456,Diabolic Sigil,,,,,,
1457,Obsidian Platform,,,,,,
1458,Obsidian Door,,,,,,
1459,Obsidian Chair,,,,,,
1460,Obsidian Table,,,,,,
1461,Obsidian Work Bench,,,,,,
1462,Obsidian Vase,,,,,,
1463,Obsidian Bookcase,,,,,,
1464,Hellbound Banner,,,,,,
1465,Hell Hammer Banner,,,,,,
1466,Helltower Banner,,,,,,
1467,Lost Hopes of Man Banner,,,,,,
1468,Obsidian Watcher Banner,,,,,,
1469,Lava Erupts Banner,,,,,,
1470,Blue Dungeon Bed,,,,,,
1471,Green Dungeon Bed,,,,,,
1472,Pink Dungeon Bed,,,,,,
1473,Obsidian Bed,,,,,,
1474,Waldo,,,,,,
1476,Dark Soul Reaper,,,,,,
1477,Land,,,,,,
1478,Trapped Ghost,,,,,,
1479,Demon's Eye,,,,,,
1480,Finding Gold,,,,,,
1481,First Encounter,,,,,,
1482,Good Morning,,,,,,
1483,Underground Reward,,,,,,
1484,Through the Window,,,,,,
1485,Place Above the Clouds,,,,,,
1486,Do Not Step on the Grass,,,,,,
1487,Cold Waters in the White Land,,,,,,
1488,Lightless Chasms,,,,,,
1489,The Land of Deceiving Looks,,,,,,
1490,Daylight,,,,,,
1491,Secret of the Sands,,,,,,
1492,Deadland Comes Alive,,,,,,
1493,Evil Presence,,,,,,
1494,Sky Guardian,,,,,,
1495,American Explosive,,,,,,
1496,Discover,,,,,,
1497,Hand Earth,,,,,,
1498,Old Miner,,,,,,
1499,Skelehead,,,,,,
1500,Facing the Cerebral Mastermind,,,,,,
1501,Lake of Fire,,,,,,
1502,Trio Super Heroes,,,,,,
1503,Spectre Hood,1316,,,,,
1504,Spectre Robe,1323,,,,,
1505,Spectre Pants,1321,,,,,
1506,Spectre Pickaxe,1322,,,,,
1507,Spectre Hamaxe,1315,,,,,
1508,Ectoplasm,,,,,,
1509,Gothic Chair,,,,,,
1510,Gothic Table,,,,,,
1511,Gothic Work Bench,,,,,,
1512,Gothic Bookcase,,,,,,
1513,Paladin's Hammer,,,,,,
1514,SWAT Helmet,,,,,,
1515,Bee Wings,70,,,,,
1516,Giant Harpy Feather,,,,,,
1517,Bone Feather,,,,,,
1518,Fire Feather,,,,,,
1519,Ice Feather,,,,,,
1520,Broken Bat Wing,,,,,,
1521,Tattered Bee Wing,,,,,,
1522,Large Amethyst,690,,,,,
1523,Large Topaz,697,,,,,
1524,Large Sapphire,696,,,,,
1525,Large Emerald,694,,,,,
1526,Large Ruby,695,,,,,
1527,Large Diamond,691,,,,,
1528,Jungle Chest,,,,,,
1529,Corruption Chest,,,,,,
1530,Crimson Chest,,,,,,
1531,Hallowed Chest,,,,,,
1532,Frozen Chest,,,,,,
1533,Jungle Key,684,,,,,
1534,Corruption Key,300,,,,,
1535,Crimson Key,305,,,,,
1536,Hallowed Key,592,,,,,
1537,Frozen Key,488,,,,,
1538,Imp Face,,,,,,
1539,Ominous Presence,,,,,,
1540,Shining Moon,,,,,,
1541,Living Gore,,,,,,
1542,Flowing Magma,,,,,,
1543,Spectre Paintbrush,1320,,,,,
1544,Spectre Paint Roller,1318,,,,,
1545,Spectre Paint Scraper,1319,,,,,
1546,Shroomite Headgear,1223,,,,,
1547,Shroomite Mask,1226,,,,,
1548,Shroomite Helmet,1224,,,,,
1549,Shroomite Breastplate,1221,,,,,
1550,Shroomite Leggings,1225,,,,,
1551,Autohammer,,,,,,
1552,Shroomite Bar,1220,,,,,
1553,S.D.M.G.,,,,,,
1554,Cenx's Tiara,,,,,,
1555,Cenx's Breastplate,,,,,,
1556,Cenx's Leggings,,,,,,
1557,Crowno's Mask,,,,,,
1558,Crowno's Breastplate,,,,,,
1559,Crowno's Leggings,,,,,,
1560,Will's Helmet,,,,,,
1561,Will's Breastplate,,,,,,
1562,Will's Leggings,,,,,,
1563,Jim's Helmet,,,,,,
1564,Jim's Breastplate,,,,,,
1565,Jim's Leggings,,,,,,
1566,Aaron's Helmet,,,,,,
1567,Aaron's Breastplate,,,,,,
1568,Aaron's Leggings,,,,,,
1569,Vampire Knives,,,,,,
1570,Broken Hero Sword,,,,,,
1571,Scourge of the Corruptor,,,,,,
1572,Staff of the Frost Hydra,,,,,,
1573,The Creation of the Guide,,,,,,
1574,The Merchant,,,,,,
1575,Crowno Devours His Lunch,,,,,,
1576,Rare Enchantment,,,,,,
1577,Glorious Night,,,,,,
1578,Sweetheart Necklace,1407,,,,,
1579,Flurry Boots,,,,,,
1580,D-Town's Helmet,,,,,,
1581,D-Town's Breastplate,,,,,,
1582,D-Town's Leggings,,,,,,
1583,D-Town's Wings,,,,,,
1584,Will's Wings,,,,,,
